商品名称,数量,交易额
0.4kw＜电动机额定功率≤5kw的冷藏或冷冻箱用压缩机,50,384989
0.4kw＜电动机额定功率≤5kw的空气调节器用压缩机,3507,445314
100年及以下的其他油画、粉画及其他手绘画原件,92,32253
100年及以下的油画、粉画及其他手绘画的复制品,16,10976
16英寸及以下的未列名自行车,3517,711830
18千瓦＜发动机功率≤37千瓦的其他拖拉机,12,657748
1kVA＜额定容量≤16kVA的互感器,64,73737
1kVA＜额定容量≤16kVA的未列名变压器,1018,72807
1，2-乙二醇,2024000,8661100
2，4－和2，6－甲苯二异氰酸酯混合物（甲苯二异氰酸酯TDI）,1047660,13998112
3000ml≥排量＞1000ml车用往复式活塞发动机,3551,7830816
37千瓦＜发动机功率≤75千瓦的其他拖拉机,12,359241
50/60Hz电路用的固定电容器，额定无功功率≥0.5千瓦,1,560
50L＜容积≤150L的压缩式家用型冷藏箱,13,16024
50吨＜最大起重量≤100吨全路面起重车,3,524994
50吨＜最大起重量≤100吨其他起重车,15,13563501
5903、5906或5907的针织物或钩编织物制服装,1626,91519
75千瓦＜发动机功率≤130千瓦的其他拖拉机,110,22130254
8202至8205中不同编码工具组成的零售套装件,427925,31845426
84041020所列设备的零件,21300,226436
