商品名称,数量,交易额
8412其他发动机及动力装置的零件,261,17912
不适于缫丝的下茧、茧衣、长吐、滞头,10344,505155
丝及绢丝制女式上衣,80,2158
丝及绢丝制女式便服套装,60,3008
丝及绢丝制披巾、头巾、围巾、披纱、面纱等,30,1554
乙烯聚合物制硬管,200,3108
人体模型；橱窗装饰用自动模型等活动陈列品,830,22588
以其他材料作面的手提包,6,396
以塑料片或纺织材料作面的手提包,13,1187
低值简易通关商品,20144928,228605989
其他专供示范（例如，教学或展览）而无其他用途的仪器、装置及模型,156,15106
其他专用于或主要用于8501或8502机器的零件,150,2805
其他丙烯聚合物非泡沫塑料板、片、膜、箔等,40,388
其他乙烯聚合物非泡沫塑料板、片、膜、箔等,44,432
其他合成纤维制染色经编织物,20,324
其他工业用钢铁制品,3432,92133
其他干绿豆,1510500,9648019
其他干鹰嘴豆,228850,1491424
其他废丝,7002,872460
"其他木刻
",31,21581
